Gene name,CP number,CP_t,CP_exp,state
0610039H22Rik,1,0,0,initial
0610039H22Rik,2,19.0337507677908,2.27312088547224,intermediate
0610039H22Rik,3,60,0.947,final
1500015O10Rik,1,0,0,initial
1500015O10Rik,2,20.4397001098461,1.83332792394946,intermediate
1500015O10Rik,3,60,0,final
2010001M09Rik,1,0,0,initial
2010001M09Rik,2,18.8232045092681,5.08618442512506,intermediate
2010001M09Rik,3,60,2.83,final
2010309G21Rik,1,0,0,initial
2010309G21Rik,2,18,2.686,final
2310043J07Rik,1,0,0,initial
2310043J07Rik,2,17.4103070570823,2.58941882343428,intermediate
2310043J07Rik,3,60,1.4095,final
4933400F03Rik,1,0,0,initial
4933400F03Rik,2,20.0508055308293,0.834114005363178,intermediate
4933400F03Rik,3,60,0.783,final
5031425E22Rik,1,0,0,initial
5031425E22Rik,2,12.9466070837595,-1.12879066147293,intermediate
5031425E22Rik,3,32.9670413879173,2.28229024583086,intermediate
5031425E22Rik,4,60,0.745,final
Adarb2,1,0,0,initial
Adarb2,2,17.9313121931202,3.19757297067233,intermediate
Adarb2,3,60,1.514,final
AI324046,1,0,0,initial
AI324046,2,14,6.983,final
Aicda,1,0,0,initial
Aicda,2,23.3789316731763,3.87547620889936,intermediate
Aicda,3,60,0,final
Alox12e,1,0,0,initial
Alox12e,2,30,3.537,final
Ankrd24,1,0,0,initial
Ankrd24,2,2.87227904748277,-2.99851297476275,intermediate
Ankrd24,3,9.04636733626369,3.17845477166975,intermediate
Ankrd24,4,46.6814535907183,-1.52516743254012,intermediate
Ankrd24,5,60,0.631,final
Aqp3,1,0,0,initial
Aqp3,2,21.5768970187281,6.18219352787125,intermediate
Aqp3,3,60,3.615,final
Asb2,1,0,0,initial
Asb2,2,25.6904290608504,4.38632443068444,intermediate
Asb2,3,60,0.9435,final
Bhlha15,1,0,0,initial
Bhlha15,2,60,1.385,final
Blnk,1,0,0,initial
Blnk,2,19.1737285796719,2.73161161927268,intermediate
Blnk,3,60,1.34,final
Cacna1s,1,0,0,initial
Cacna1s,2,20.956848307787,2.35632283856813,intermediate
Cacna1s,3,60,1.639,final
Ccnk,1,0,0,initial
Ccnk,2,22.0752808181512,3.68558230080779,intermediate
Ccnk,3,60,2.372,final
Cd74,1,0,0,initial
Cd74,2,18.1219055801653,2.07130822413485,intermediate
Cd74,3,40,0.847,final
Cdk19,N/A,N/A,N/A,N/A
Ces2a,1,0,0,initial
Ces2a,2,22.1086179443011,1.75100181576712,intermediate
Ces2a,3,60,1.355,final
Cilp,1,0,0,initial
Cilp,2,18.9377254417991,2.62142656006096,intermediate
Cilp,3,60,0,final
Dapl1,1,0,0,initial
Dapl1,2,19.2330964134385,2.58630035116142,intermediate
Dapl1,3,60,1.154,final
Dclk1,1,0,0,initial
Dclk1,2,9.36645682483986,1.40198831181355,intermediate
Dclk1,3,60,0.8455,final
Derl3,1,0,0,initial
Derl3,2,19.9083813417553,2.96143664082926,intermediate
Derl3,3,60,2.397,final
Eaf2,1,0,0,initial
Eaf2,2,17.9881230040558,3.73440581704486,intermediate
Eaf2,3,60,2.358,final
F730002C09Rik,N/A,N/A,N/A,N/A
Fcrla,1,0,0,initial
Fcrla,2,16.3977295863844,2.14420984193092,intermediate
Fcrla,3,60,0,final
Fxyd4,1,0,0,initial
Fxyd4,2,60,2.5,final
Fzd10,1,0,0,initial
Fzd10,2,19.5810493275794,0.636526888395967,intermediate
Fzd10,3,33.1615620954893,1.6910175649387,intermediate
Fzd10,4,60,0,final
Galnt12,1,0,0,initial
Galnt12,2,10,0.899,final
Gm1499,1,0,0,initial
Gm1499,2,20.8704039111126,4.8480674671746,intermediate
Gm1499,3,60,3.283,final
Gm1502,1,0,0,initial
Gm1502,2,18,4.86,final
Gm1524,1,0,0,initial
Gm1524,2,18,4.447,final
Gm5222,1,0,0,initial
Gm5222,2,24.0599623409638,-0.0444368261980388,intermediate
Gm5222,3,30.5672398753718,2.06696386745523,intermediate
Gm5222,4,60,0,final
Gm5571,1,0,0,initial
Gm5571,2,18.4408741291365,4.4994232263814,intermediate
Gm5571,3,60,2.014,final
Gm10879,1,0,0,initial
Gm10879,2,18.6511070000872,4.25855761640528,intermediate
Gm10879,3,60,3.658,final
Gng13,1,0,0,initial
Gng13,2,22.7686535736504,1.80211615788499,intermediate
Gng13,3,60,0.907,final
H2-DMb2,1,0,0,initial
H2-DMb2,2,19.8907127454307,2.16364990641915,intermediate
H2-DMb2,3,60,0.754,final
Igh-V10,1,0,0,initial
Igh-V10,2,40,4.606,final
Igh-V7183,1,0,0,initial
Igh-V7183,2,22,3.808,final
Igh-VJ558,1,0,0,initial
Igh-VJ558,2,18,4.327,final
Igh-VX24,1,0,0,initial
Igh-VX24,2,18.644182253788,2.91793025174149,intermediate
Igh-VX24,3,60,2.015,final
Ighg,1,0,0,initial
Ighg,2,18,4.908,final
Ighm,1,0,0,initial
Ighm,2,30,5.356,final
Ighv1-77,1,0,0,initial
Ighv1-77,2,18,3.908,final
Ighv1-54,1,0,0,initial
Ighv1-54,2,22,4.325,final
Igj,1,0,0,initial
Igj,2,18,5.2835,final
Igk-V1,1,0,0,initial
Igk-V1,2,15.5140651095184,4.50739470571025,intermediate
Igk-V1,3,40,3.6225,final
Igk-V19-20,1,0,0,initial
Igk-V19-20,2,21.6841854204205,2.88341812089484,intermediate
Igk-V19-20,3,60,2.066,final
Igk-V38,1,0,0,initial
Igk-V38,2,20.3163536331753,4.89784515680432,intermediate
Igk-V38,3,60,4.211,final
Igk-V,1,0,0,initial
Igk-V,2,18.6997957055833,6.19806083977249,intermediate
Igk-V,3,60,3.262,final
Igkv3-4,1,0,0,initial
Igkv3-4,2,24.2411392423762,7.31839818941651,intermediate
Igkv3-4,3,60,4.709,final
Igkv6-14,1,0,0,initial
Igkv6-14,2,20.5639008872533,4.85198185390613,intermediate
Igkv6-14,3,60,4.124,final
Igkv13-84,1,0,0,initial
Igkv13-84,2,22.4640007828156,3.19588103065192,intermediate
Igkv13-84,3,60,2.408,final
Iglv1,1,0,0,initial
Iglv1,2,26,4.005,final
Klk4,1,0,0,initial
Klk4,2,20.8431581602363,2.19401461465698,intermediate
Klk4,3,60,1.206,final
Krt5,1,0,0,initial
Krt5,2,5.53961854860946,6.903575521129,intermediate
Krt5,3,60,4.415,final
Krt14,1,0,0,initial
Krt14,2,8.39217075245879,6.06610033594646,intermediate
Krt14,3,60,3.986,final
LOC544905,1,0,0,initial
LOC544905,2,21.5788808640372,8.1330944024123,intermediate
LOC544905,3,60,4.964,final
LOC672291,1,0,0,initial
LOC672291,2,30,4.107,final
LOC672450,1,0,0,initial
LOC672450,2,30,4.5,final
Ltbp2,1,0,0,initial
Ltbp2,2,10.2513427687581,0.457656793872948,intermediate
Ltbp2,3,34.6827596951632,2.23270547057084,intermediate
Ltbp2,4,60,0,final
Ly6d,1,0,0,initial
Ly6d,2,14.3237363180643,2.78500918882956,intermediate
Ly6d,3,60,1.619,final
Mef2b,1,0,0,initial
