Gene name,CP number,CP_t,CP_exp,state
SPSB1,1,0,0,initial
SPSB1,2,4.61076132215801,0.701867729024784,intermediate
SPSB1,3,10,0.768634352999999,final
GPR3,1,0,0,initial
GPR3,2,4.26214585663527,1.6872553827751,intermediate
GPR3,3,10,1.247842127,final
MFSD2A,1,0,0,initial
MFSD2A,2,4.33409678206431,1.70468372410429,intermediate
MFSD2A,3,10,1.2715150575,final
GADD45A,1,0,0,initial
GADD45A,2,3.13695749832275,-0.254507391294935,intermediate
GADD45A,3,6.45869848576637,1.19710780997825,intermediate
GADD45A,4,10,0.654138535,final
ARID3B,1,0,0,initial
ARID3B,2,4.02753558993163,-0.422799585822575,intermediate
ARID3B,3,5.80733710622854,1.0655790454079,intermediate
ARID3B,4,10,0.704533309000002,final
CYR61,1,0,0,initial
CYR61,2,0.29506020254731,1.76905687028698,intermediate
CYR61,3,4.87351969522159,-0.264627712791918,intermediate
CYR61,4,6.79371922659473,1.59073229123744,intermediate
CYR61,5,10,0.976694237,final
LRRC8B,1,0,0,initial
LRRC8B,2,2.92032417959981,-0.308134139533048,intermediate
LRRC8B,3,6.42904183343119,1.13896934875459,intermediate
LRRC8B,4,10,0.560655690000001,final
SLC30A7,1,0,0,initial
SLC30A7,2,2.31842537756159,-0.523318011363333,intermediate
SLC30A7,3,3.16781744731747,1.40281002731731,intermediate
SLC30A7,4,7.66621848086794,0.133683405164802,intermediate
SLC30A7,5,10,0.488338815000001,final
PEA15,1,0,0,initial
PEA15,2,10,0.57681846,final
UAP1,1,0,0,initial
UAP1,2,4.47574996337483,0.786201349050702,intermediate
UAP1,3,10,0.562153305000001,final
QSOX1,1,0,0,initial
QSOX1,2,10,1.3067223615,final
BTG2,1,0,0,initial
BTG2,2,3.75976253264245,2.04788380701103,intermediate
BTG2,3,10,1.0475618455,final
CD55,1,0,0,initial
CD55,2,4.35320857284154,0.37195534997443,intermediate
CD55,3,10,0.627055889999999,final
GPR137B,1,0,0,initial
GPR137B,2,4.11576760480283,0.743436039437482,intermediate
GPR137B,3,10,0.785709536000001,final
ERRFI1,1,0,0,initial
ERRFI1,2,2.75349926124751,0.298419594978455,intermediate
ERRFI1,3,6.61182733127124,1.09922505631313,intermediate
ERRFI1,4,10,0.38697228,final
EPHA2,1,0,0,initial
EPHA2,2,10,1.7079798635,final
GNL2,1,0,0,initial
GNL2,2,2.43308686846373,-0.487045866626096,intermediate
GNL2,3,3.2886699891455,1.23118707653192,intermediate
GNL2,4,7.6244410454875,0.0439056390461723,intermediate
GNL2,5,10,0.456126005,final
YRDC,1,0,0,initial
YRDC,2,2.02923093699469,1.49769563472327,intermediate
YRDC,3,6.68520736877881,0.647465097304966,intermediate
YRDC,4,10,1.125507645,final
SLC2A1,1,0,0,initial
SLC2A1,2,2.10864297617914,-0.501364867426215,intermediate
SLC2A1,3,3.57069244885145,1.16010588008542,intermediate
SLC2A1,4,7.5805177720682,-0.230337541105174,intermediate
SLC2A1,5,10,0.385590755000001,final
BCL10,1,0,0,initial
BCL10,2,4.25265521159322,1.1444679367469,intermediate
BCL10,3,10,0.944286834,final
GTF2B,1,0,0,initial
GTF2B,2,4.34727145443363,0.673726663467291,intermediate
GTF2B,3,10,0.639649705,final
TAF13,1,0,0,initial
TAF13,2,10,0.957329022,final
MCL1,1,0,0,initial
MCL1,2,4.20888272366654,0.911927594154981,intermediate
MCL1,3,10,0.773004709999999,final
CRABP2,1,0,0,initial
CRABP2,2,10,0.8905625935,final
PTGS2,1,0,0,initial
PTGS2,2,4.02197274336609,3.1374304332233,intermediate
